Entity,Code,Year,Cancer Type,"Age-standardized deaths in both sexes per 100,000 people"
Malaysia,MYS,2012,stomach cancer,1.5983534
Malaysia,MYS,2012,brain and nervous system cancers,0.84151834
Malaysia,MYS,2012,liver cancer,3.5386913
Malaysia,MYS,2013,bladder cancer,0.5238172
Malaysia,MYS,2013,colon and rectum cancers,3.9274616
Malaysia,MYS,2013,pancreas cancer,1.4571211
Malaysia,MYS,2013,breast cancer,4.020472
Malaysia,MYS,2013,corpus uteri cancer,0.56235087
Malaysia,MYS,2013,kidney cancer,0.5882648
Malaysia,MYS,2013,oesophagus cancer,0.5215512
Malaysia,MYS,2013,melanoma and other,0.3404779
Malaysia,MYS,2013,prostate cancer,0.9527333
Malaysia,MYS,2013,thyroid cancer,0.43087825
Malaysia,MYS,2013,testicular cancer,0.05279599
Malaysia,MYS,2013,"trachea, bronchus, lung cancers",8.004401
Malaysia,MYS,2013,mouth and oropharynx cancers,1.8057591
Malaysia,MYS,2013,ovary cancer,1.0089238
Malaysia,MYS,2013,larynx cancer,0.2605291
Malaysia,MYS,2013,gallbladder and biliary tract cancer,0.35360926
Malaysia,MYS,2013,cervix uteri cancer,1.0363239
Malaysia,MYS,2013,stomach cancer,1.4403324
Malaysia,MYS,2013,brain and nervous system cancers,0.44120562
Malaysia,MYS,2013,liver cancer,3.809826
Malaysia,MYS,2014,bladder cancer,0.54043
Malaysia,MYS,2014,colon and rectum cancers,3.9026084
Malaysia,MYS,2014,pancreas cancer,1.4468018
Malaysia,MYS,2014,breast cancer,4.005081
Malaysia,MYS,2014,corpus uteri cancer,0.53792614
Malaysia,MYS,2014,kidney cancer,0.7200025
Malaysia,MYS,2014,oesophagus cancer,0.50475925
Malaysia,MYS,2014,melanoma and other,0.38396943
Malaysia,MYS,2014,prostate cancer,1.2007426
Malaysia,MYS,2014,thyroid cancer,0.36730567
Malaysia,MYS,2014,testicular cancer,0.07925324
Malaysia,MYS,2014,"trachea, bronchus, lung cancers",7.4007716
Malaysia,MYS,2014,mouth and oropharynx cancers,1.8302805
Malaysia,MYS,2014,ovary cancer,1.0920297
Malaysia,MYS,2014,larynx cancer,0.24035572
Malaysia,MYS,2014,gallbladder and biliary tract cancer,0.43975058
Malaysia,MYS,2014,cervix uteri cancer,0.99192894
Malaysia,MYS,2014,stomach cancer,1.505305
Malaysia,MYS,2014,brain and nervous system cancers,0.49602303
Malaysia,MYS,2014,liver cancer,3.7538476
Malaysia,MYS,2015,bladder cancer,0.5099508
Malaysia,MYS,2015,colon and rectum cancers,4.3239503
Malaysia,MYS,2015,pancreas cancer,1.5636901
Malaysia,MYS,2015,breast cancer,3.9454684
Malaysia,MYS,2015,corpus uteri cancer,0.63526464
Malaysia,MYS,2015,kidney cancer,0.6120123
Malaysia,MYS,2015,oesophagus cancer,0.6033645
Malaysia,MYS,2015,melanoma and other,0.38225117
Malaysia,MYS,2015,prostate cancer,1.0213871
Malaysia,MYS,2015,thyroid cancer,0.5024055
Malaysia,MYS,2015,testicular cancer,0.09553917
Malaysia,MYS,2015,"trachea, bronchus, lung cancers",7.451301
Malaysia,MYS,2015,mouth and oropharynx cancers,1.9609293
Malaysia,MYS,2015,ovary cancer,1.0426315
Malaysia,MYS,2015,larynx cancer,0.24251992
Malaysia,MYS,2015,gallbladder and biliary tract cancer,0.38905427
Malaysia,MYS,2015,cervix uteri cancer,0.99857175
Malaysia,MYS,2015,stomach cancer,1.271092
Malaysia,MYS,2015,brain and nervous system cancers,0.5343427
Malaysia,MYS,2015,liver cancer,3.7617676
Malaysia,MYS,2016,bladder cancer,0.62785643
Malaysia,MYS,2016,colon and rectum cancers,4.5613217
Malaysia,MYS,2016,pancreas cancer,1.3395954
Malaysia,MYS,2016,breast cancer,4.5221567
Malaysia,MYS,2016,corpus uteri cancer,0.6902602
Malaysia,MYS,2016,kidney cancer,0.64573085
Malaysia,MYS,2016,oesophagus cancer,0.5353449
Malaysia,MYS,2016,melanoma and other,0.41056138
Malaysia,MYS,2016,prostate cancer,1.2379851
Malaysia,MYS,2016,thyroid cancer,0.42570513
Malaysia,MYS,2016,testicular cancer,0.08087056
Malaysia,MYS,2016,"trachea, bronchus, lung cancers",7.2709002
Malaysia,MYS,2016,mouth and oropharynx cancers,1.9405288
Malaysia,MYS,2016,ovary cancer,1.1159266
Malaysia,MYS,2016,larynx cancer,0.2017458
Malaysia,MYS,2016,gallbladder and biliary tract cancer,0.47434068
Malaysia,MYS,2016,cervix uteri cancer,0.91396797
Malaysia,MYS,2016,stomach cancer,1.2541813
Malaysia,MYS,2016,brain and nervous system cancers,0.4548353
Malaysia,MYS,2016,liver cancer,3.8548043
Malaysia,MYS,2017,bladder cancer,0.66919774
Malaysia,MYS,2017,colon and rectum cancers,5.7530136
Malaysia,MYS,2017,pancreas cancer,1.7640603
Malaysia,MYS,2017,breast cancer,5.8674893
Malaysia,MYS,2017,corpus uteri cancer,0.81673867
Malaysia,MYS,2017,kidney cancer,0.6655924
Malaysia,MYS,2017,oesophagus cancer,0.6053017
Malaysia,MYS,2017,melanoma and other,0.48231706
Malaysia,MYS,2017,prostate cancer,1.6740471
Malaysia,MYS,2017,thyroid cancer,0.49761987
Malaysia,MYS,2017,testicular cancer,0.11509896
Malaysia,MYS,2017,"trachea, bronchus, lung cancers",8.52658
Malaysia,MYS,2017,mouth and oropharynx cancers,2.3792744
Malaysia,MYS,2017,ovary cancer,1.1796857
Malaysia,MYS,2017,larynx cancer,0.25036478
Malaysia,MYS,2017,gallbladder and biliary tract cancer,0.46752355
Malaysia,MYS,2017,cervix uteri cancer,1.1618723
Malaysia,MYS,2017,stomach cancer,1.4147292
Malaysia,MYS,2017,brain and nervous system cancers,0.63157934
Malaysia,MYS,2017,liver cancer,4.1476474
Malaysia,MYS,2018,bladder cancer,0.6994817
Malaysia,MYS,2018,colon and rectum cancers,7.750719
Malaysia,MYS,2018,pancreas cancer,2.050657
Malaysia,MYS,2018,breast cancer,6.7582994
Malaysia,MYS,2018,corpus uteri cancer,0.9561681
Malaysia,MYS,2018,kidney cancer,0.8534178
Malaysia,MYS,2018,oesophagus cancer,0.74755424
Malaysia,MYS,2018,melanoma and other,0.49820927
Malaysia,MYS,2018,prostate cancer,1.9128348
Malaysia,MYS,2018,thyroid cancer,0.71718967
Malaysia,MYS,2018,testicular cancer,0.12953395
Malaysia,MYS,2018,"trachea, bronchus, lung cancers",10.264258
Malaysia,MYS,2018,mouth and oropharynx cancers,2.6226442
Malaysia,MYS,2018,ovary cancer,1.5393684
Malaysia,MYS,2018,larynx cancer,0.36140728
Malaysia,MYS,2018,gallbladder and biliary tract cancer,0.5278342
Malaysia,MYS,2018,cervix uteri cancer,1.3912133
Malaysia,MYS,2018,stomach cancer,1.8970921
Malaysia,MYS,2018,brain and nervous system cancers,0.9899389
Malaysia,MYS,2018,liver cancer,5.498269
Malaysia,MYS,2019,bladder cancer,0.64940697
Malaysia,MYS,2019,colon and rectum cancers,6.5522375
Malaysia,MYS,2019,pancreas cancer,1.9463282
Malaysia,MYS,2019,breast cancer,6.160151
Malaysia,MYS,2019,corpus uteri cancer,0.9174575
Malaysia,MYS,2019,kidney cancer,0.9052372
Malaysia,MYS,2019,oesophagus cancer,0.6511448
Malaysia,MYS,2019,melanoma and other,0.45282483
Malaysia,MYS,2019,prostate cancer,1.7170426
Malaysia,MYS,2019,thyroid cancer,0.5559196
Malaysia,MYS,2019,testicular cancer,0.13677263
Malaysia,MYS,2019,"trachea, bronchus, lung cancers",9.143009
Malaysia,MYS,2019,mouth and oropharynx cancers,2.2415986
Malaysia,MYS,2019,ovary cancer,1.3124874
Malaysia,MYS,2019,larynx cancer,0.2922705
Malaysia,MYS,2019,gallbladder and biliary tract cancer,0.43580997
Malaysia,MYS,2019,cervix uteri cancer,1.420802
Malaysia,MYS,2019,stomach cancer,1.495736
Malaysia,MYS,2019,brain and nervous system cancers,0.8636355
Malaysia,MYS,2019,liver cancer,4.785597
Malaysia,MYS,2020,bladder cancer,0.68390954
Malaysia,MYS,2020,colon and rectum cancers,7.4817038
Malaysia,MYS,2020,pancreas cancer,2.0999453
Malaysia,MYS,2020,breast cancer,6.2364683
Malaysia,MYS,2020,corpus uteri cancer,1.0139108
Malaysia,MYS,2020,kidney cancer,0.8836462
Malaysia,MYS,2020,oesophagus cancer,0.6256571
Malaysia,MYS,2020,melanoma and other,0.4547529
Malaysia,MYS,2020,prostate cancer,1.8222334
Malaysia,MYS,2020,thyroid cancer,0.537614
Malaysia,MYS,2020,testicular cancer,0.10017097
Malaysia,MYS,2020,"trachea, bronchus, lung cancers",9.207385
Malaysia,MYS,2020,mouth and oropharynx cancers,2.3384488
Malaysia,MYS,2020,ovary cancer,1.3830924
Malaysia,MYS,2020,larynx cancer,0.21266122
